Åvs,Ort,Glas,Kartong,Metall,Blandplast,Tidningar,Latitud decimal,Longitud decimal
Industriområdet,Belganet,x,x,x,x,x,56.38556,15.03139
ICA Maxi,Ronneby,x,x,"",x,x,56.21417,15.27361
Angelskog (ÅVC),Ronneby,x,x,x,x,x,56.18417,15.31444
Aborremålavägen (ÅVC),Hallabro,x,x,x,x,x,56.38972,15.10944
Lanthandel,Bräkne-Hoby,x,x,x,x,x,56.23278,15.11694
Shellmacken,Listerby,x,x,x,x,x,56.19861,15.40361
Ica Nära Johannishus,Johannishus,x,x,x,x,x,56.21861,15.41333
Espehallen,Ronneby,x,x,x,"",x,56.20806,15.26750
Loket,Ronneby,x,x,x,x,x,56.20528,15.28639
"Falkvik, kiosken",Falkvik,x,x,x,x,x,56.03639,14.57139
"Högtofta, skolan",Kylinge,x,x,x,x,x,56.18389,14.61000
"Hörvik, daghemmet",Hörvik,x,x,x,x,x,56.03972,14.75306
"Mjällby, SPAR",Mjällby,x,x,x,x,x,56.04528,14.67139
"Nogesund, norra infarten",Nogersund,x,x,x,x,x,56.01250,14.72611
Sandviken,Sandviken,x,x,x,x,x,56.02222,14.59972
Vid statoil,Sölvesborg,x,x,x,x,x,56.05806,14.59278
Sölvesborg ÅVC,Sölvesborg,x,x,x,x,x,56.06556,14.63194
"Falkvik, Bossabovägen",Falkvik,x,x,x,x,x,56.04222,14.56861
Ysane,Ysane,x,x,x,x,x,56.08861,14.65000
"Sölvesborg, Lasses Kiosk Svarta led",Sölvesborg,x,x,x,x,x,56.05306,14.57028
Vid Kiosken,Hällevik,x,x,x,x,x,56.01667,14.70278
Axel Johnssons väg 113,Avesta,x,x,x,x,x,60.14250,16.15639
Plusparkeringen bredvid Bildelar,Avesta,x,x,x,x,x,60.14694,16.17056
P-Plats ,Avesta,x,x,x,x,x,60.14139,16.18667
Fäbodvägen ,Horndal,x,x,x,x,x,60.28500,16.40250
Ponsbachs Väg,Krylbo,x,x,x,x,x,60.12556,16.20944
Karlslunds sorteringsanläggning (ÅVC),Karlslund,x,x,x,x,x,60.17694,16.17722
Klockarvägen 35,Skogsbo,x,x,x,x,x,60.16417,16.17639
P-plats kyrkan,Folkärna,x,x,x,x,x,60.15194,16.31278
Forshallen,Fors,x,x,x,x,x,60.20722,16.30944
