Åvs,Ort,Glas,Kartong,Metall,Blandplast,Tidningar,Latitud decimal,Longitud decimal
Ljungnässkolan,Mönsterås,x,"",x,"",x,57.03056,16.44833
Idottsgatan/Parkgatan,Mönsterås,x,x,x,x,x,57.04889,16.43889
Netto,Mönsterås,x,x,x,x,x,57.03556,16.44556
Gästhamnen/färjeläget,Timmernabben,x,x,x,x,x,56.96639,16.44361
Tempo,Timmernabben,x,x,x,x,x,56.97750,16.43417
Alsteråsskolan,Ålem,x,x,x,x,x,56.95083,16.38583
Stationen,Ålem,x,x,x,x,x,56.94500,16.38639
"Finsjö, busshållplats Finsjö",Finsjö,x,x,x,x,x,57.15306,16.23583
Pataholm,Pataholm,x,x,x,x,x,56.91194,16.42806
Hammarglo,Hammarglo,x,x,x,x,x,57.07167,16.51528
Sandbäckshult,Sandbäckshult,x,x,x,x,x,56.99722,16.28556
Mörkeskogs avfallsanläggning (ÅVC),Mönsterås,x,x,x,x,x,57.01222,16.40167
Alby Albyboden,Alby,x,x,x,x,x,56.48194,16.57528
Edward Orms väg,Algutsrum,x,x,x,x,x,56.68472,16.52694
Degerhamnsbacken,Degerhamn,x,x,x,x,x,56.35556,16.41306
Färjestaden Öster om Trädgårdsprodukter,Färjestaden,x,x,x,x,x,56.65194,16.47472
Färjestaden Öster om Vitsippans förskola,Färjestaden,x,x,x,x,x,56.64167,16.48528
Grönhögen Strax innan hamnen,Grönhögen,x,x,x,x,x,56.26750,16.39722
Gårdby Sporthallen,Gårdby,x,x,x,x,x,56.59528,16.63500
Mörbylånga Gamla sockerbruket ,Mörbylånga,x,x,x,x,x,56.52694,16.38694
Bakom Överskottsbolaget,Ölands skogsby,x,x,x,x,x,56.62944,16.51500
Kommunförrådet (ÅVC),Färjestaden,x,x,"",x,x,56.64528,16.49639
Mörbylånga (ÅVC),Mörbylånga,x,x,"",x,x,56.52722,16.38778
Kastlösa,Kastlösa,x,x,x,x,x,56.45333,16.42722
"Alsterbro, Alsterbrovägen",Alsterbro,x,x,x,x,x,56.94306,15.91556
"Bäckebo, Vid reningsverket",Bäckebo,x,x,x,x,x,56.89000,16.07278
"Kristvallabrunn, Rössbovägen",Kristvallabrunn,x,x,x,x,x,56.77528,16.05028
"Målerås, Gula gatan",Målerås,x,x,x,x,x,56.91167,15.57444
"Nybro, Pingstkyrkans p-plats",Nybro,x,x,x,x,x,56.74639,15.90833
"Nybro, Jutarnas Livs (Preem)",Nybro,x,x,x,x,x,56.74194,15.88917
"Netto, vid Hanemålaskolan, P-plats",Nybro,x,x,x,x,x,56.73250,15.94778
"Nybro, Kvarneslättsgatan",Nybro,x,x,x,x,x,56.73444,15.92139
"Nybro, ICA Kvantum",Nybro,x,x,x,x,x,56.74250,15.90194
"Nybro, Kungshallsvägen/Algatan",Nybro,x,x,x,x,x,56.75333,15.90639
"Orrefors, Simon Gates väg",Orrefors,x,x,x,x,x,56.84333,15.74639
"Örsjö, Orrabäcksvägen",Örsjö,x,x,x,x,x,56.69833,15.75167
Nybro Återvinningscentral (ÅVC),Nybro,x,x,"",x,x,56.73167,15.97472
"Åkrahällsskolan, p-plats",Nybro,x,x,x,x,x,56.74361,15.93139
"Bockara, utanför återvinningsgården",Bockara,x,x,x,x,x,57.26389,16.06917
"Oskarshamn, Fallebo",Fallebo,x,x,x,x,x,57.27472,16.46056
Figeholm (utanför ÅVC),Figeholm,x,x,x,x,x,57.37222,16.53750
"Fårbo, utanför återvinningsgården",Fårbo,x,x,x,x,x,57.38111,16.48444
"Kristdala, utanför återvinningsgården",Kristdala,x,"",x,x,x,57.40250,16.20556
"Återvinningsgården, Misterhult",Misterhult,x,x,x,"",x,57.46361,16.54944
"Oskarshamn, ICA Maxi, P-plats",Oskarshamn,x,x,x,x,x,57.26556,16.43139
"Oskarshamn, Kristineberg",Oskarshamn,x,x,x,x,x,57.24750,16.47056
"Oskarshamn, Kristinebergs Centrum",Oskarshamn,x,x,x,x,x,57.25194,16.46722
"Oskarshamn, vid skolan, Rödsle",Oskarshamn,x,x,x,x,x,57.27167,16.40444
"Oskarshamn, Mockebo, bussvändplan",Oskarshamn,x,x,x,x,x,57.28778,16.48111
Servus,Oskarshamn,x,x,x,x,x,57.27250,16.44361
"Påskallavik, utanför återvinningsgården",Påskallavik,x,x,x,x,x,57.15667,16.45861
"Oskarshamn, Havslätts P-plats",Oskarshamn,x,x,x,x,x,57.27806,16.47083
"Oskarshamn, Hjort",Oskarshamn,x,x,x,x,x,57.27194,16.42889
"Oskarshamn, Kikebo",Oskarshamn,x,x,x,x,x,57.25889,16.44222
"Oskarshamn, Gröndal",Oskarshamn,x,x,x,x,x,57.26028,16.46361
Storskogen Återvinningscentral ,Oskarshamn,x,x,x,x,x,57.23722,16.42278
Möre köpcenter,Söderåkra,x,x,"",x,x,56.45056,16.07000
Parkeringen,Torsås,x,x,x,x,x,56.41194,15.99306
"Vågen, kretsloppscenter",Bergkvara,x,x,x,x,x,56.38639,16.08139
Vid tennisbana,Gullabo,x,x,x,x,x,56.46361,15.80556
Mot ÅVC:n,Torsås,x,x,x,x,x,56.40306,15.99833
Idrottspl/Bygdegårds p-plats,Frödinge,x,x,x,x,x,57.70250,16.00833
Wohlfart varuhall (Ica),Gullringen,x,x,x,x,x,57.80000,15.71472
Hembygdsparken,Rumskulla,x,x,x,x,x,57.67583,15.59361
Mittemot Storebrohallen,Storebro,x,x,x,x,x,57.58778,15.84222
Södra Vi,Södra Vi,x,x,x,x,x,57.73944,15.79556
Vid brandstationen/affären,Tuna,x,x,x,x,x,57.57611,16.10389
Bilteknik,Vimmerby,x,x,x,x,x,57.66694,15.84500
"F.d. Furans Livs, P-plats",Vimmerby,x,x,x,x,x,57.67361,15.85750
"Folkets Park, P-plats",Vimmerby,x,x,x,x,x,57.66361,15.87694
Stenbergsgatan/Lundgatan,Vimmerby,x,x,x,x,x,57.67889,15.86333
Ica Supermarket,Vimmerby,x, , , ,"",57.66361,15.85444
"Djursdala, Källstaområdet",Djursdala,x, , , ,"",57.76083,15.87583
"Locknevi, Nygård Servicehus",Locknevi,x,"","","","",57.79778,16.08083
"Pelarne, Parkeringen vid kyrkan",Pelarne,x, , , ,"",57.62667,15.71194
Vimmerby Avfallsanläggning (ÅVC),Vimmerby,x,x,"",x,x,57.69417,15.87667
Folkets Husparkeringen,Ankarsrum,x,x,x,x,x,57.70278,16.33250
Vid lekplatsen,Björnsholm,x,x,x,x,x,57.95083,16.43861
Sporthallen,Blankaholm,x,x,x,x,x,57.59000,16.52194
Ställverksgatan,Edsbruk,x,x,x,x,x,58.01639,16.47417
Gamelby (ÅVC),Gamleby,"","","","",x,57.88778,16.39389
P-plats köpcentrum,Gamleby,x,x,x,x,x,57.89889,16.39806
Hantverksplan,Gamleby,x,x,x,x,x,57.89917,16.41111
"Vid Silos, Fortet",Helgenäs,x,x,x,x,x,57.99944,16.50250
Ankarsrumsvägen,Hjorted,x,x,x,x,x,57.62194,16.30583
Loftahammar (ÅVC),Loftahammar,"","","","",x,57.91139,16.69056
Stora planen,Loftahammar,x,x,x,x,x,57.90222,16.69083
Centrum vid affären,Totebo,x,x,x,x,x,57.63139,16.18417
Affären,Ukna,x,x,x,x,x,58.08028,16.35333
Röda korsets p-plats,Västervik,x,x,x,x,x,57.75167,16.64167
Riksbyggen,Västervik,x,x,x,"",x,57.74056,16.64194
Coop Extra,Västervik,x,x,x,x,x,57.75944,16.61639
Stenhamra Parkering,Västervik,x,x,x,x,x,57.76194,16.63361
Överum (ÅVC),Överum,"",x,"",x,"",57.77583,16.58389
Grusplanen,Överum,x,x,x,x,x,57.99111,16.29028
Folkparksvägen,Västervik,x,x,x,x,x,57.76361,16.60194
Målserumstippen (ÅVC),Västervik,x,x,x,x,x,57.77444,16.58389
Vattentornet,Alvesta,x,x,x,x,x,56.89750,14.57389
Blädingevägen,Alvesta,x,"",x,x,x,56.89528,14.54861
Willys  ,Alvesta,x,x,x,x,x,56.90278,14.55889
ICA-rätt,Alvesta,x,x,x,x,x,56.90028,14.55139
Odlingsvägen,Alvesta,x,x,x,x,x,56.90694,14.53417
Handelsboden,Grimslöv,x,x,x,x,x,56.73556,14.54556
Stationsplanen,Hjortsberga,x,x,x,x,x,56.91639,14.45722
Tommys livs,Lönashult,x,x,"",x,x,56.65083,14.51472
Öster om järnvägen,Moheda,x,x,"",x,x,57.00028,14.57972
Tvetarydskrysset,Torne,x,x,"",x,x,56.68972,14.60111
Affären,Torpsbruk,x,x,x,x,x,57.03250,14.57056
Husebyvägen,Vislanda,x,x,x,x,x,56.78583,14.46306
Västra Järnvägsgatan,Moheda,x,x,x,x,x,57.00389,14.57583
Brandstationen,Kosta,x,x,x,x,x,56.84111,15.39389
Plåtslagarvägen,Lessebo,x,x,x,x,x,56.75972,15.26972
Träningsplan,Skruv,x,x,x,x,x,56.67583,15.37000
Järnvägsgatan 2,Hovmantorp,x,x,x,x,x,56.78417,15.14917
Konsum,Lessebo,x,x,x,x,x,56.75056,15.27111
Vid tippen (ÅVC),Lessebo,x,x,x,x,x,56.73944,15.25139
"Infarten, affären, Bråna 3:32, Agunnaryd",Agunnaryd,x,x,x,x,x,56.74722,14.14778
Vid badplatsen,Angelstad,x,x,x,x,x,56.82583,13.76556
"Stationsområdet Elinge 8:2, Hamneda",Hamneda,x,x,x,x,x,56.69222,13.86806
Lunnarpsv. vid brofästet,Kånna,x,x,x,x,x,56.78222,13.89889
"P-plats Torg 13:1, Lagan",Lagan,x,x,x,x,x,56.91556,13.98639
P-plats vid bensinmacken,Lidhult,x,x,x,x,x,56.82750,13.43944
ICA Maxi,Ljungby,x,x,x,x,x,56.83500,13.94556
Garvaren,Ljungby,x,x,x,x,x,56.83139,13.93139
Bredemad avfallsanläggning (ÅVC),Ljungby,x,x,x,x,x,56.86250,13.92528
Bensinmacken Ingo,Ljungby,x,x,x,x,x,56.84139,13.94639
Brandstationen/Pingstkyrkan,Tannåker,x,x,x,x,x,56.95778,13.77528
"P-plats, Ryssby",Ryssby,x,x,x,x,x,56.86389,14.16500
Affären,Södra Ljunga,x,x,x,x,x,56.74417,13.97194
Närköp,Vittaryd,x,x,x,x,x,56.97000,13.95056
Markaryd Västerg/Stens vägen,Markaryd,x,x,x,x,x,56.46583,13.59056
Råstorp Järnvägsövergång,Råstorp,x,x,x,x,x,56.48472,13.53222
Timsfors Prästtorpsv/Massav,Timsfors,x,x,x,x,x,56.48000,13.61000
Traryd Konsum,Traryd,x,x,x,x,x,56.57944,13.74833
Linnévägen,Strömsnäsbruk,x,x,x,x,x,56.55222,13.74083
"Parkeringen, bakom ICA",Strömsnäsbruk,x,x,x,x,x,56.54944,13.73056
Mellan Snapphanestigen och Västergårdsvägen,Markaryd,x,x,x,x,x,56.45194,13.60889
"Hinneryd, vid gamla affären",Hinneryd,x,x,x,x,x,56.61778,13.60972
Elsemåla (ÅVC),Elsemåla,x,x,x,x,x,56.50111,15.01139
Konga Cykel & Motor,Konga,x,x,x,x,x,56.49500,15.11972
Linneryd brandstationen,Linneryd,x,x,x,x,x,56.65722,15.13000
ICA nära,Ryd,x,x,x,x,x,56.46639,14.69306
Ryd Östergatan,Ryd,x,"",x,x,x,56.46639,14.70139
Matöppet,Älmeboda,x,x,x,x,x,56.55417,15.26583
Tinghallen,Tingsryd,x,x,"",x,x,56.52889,14.97917
Bultvägen/Lokagatan,Tingsryd,x,x,x,x,x,56.51889,14.98889
Tingsryd Ebbalyckevägen,Tingsryd,x,x,x,x,x,56.53222,14.96778
Urshult brandstationen,Urshult,x,x,x,x,x,56.53028,14.81806
Väckelsång brandstationen,Väckelsång,x,x,x,x,x,56.63722,14.91972
"Alstermo, Alsterhallen (Hohult 2:83)",Alstermo,x,x,x,x,x,56.97583,15.64889
"Fröseke, bakom Servicehuset (12:161)",Fröseke,x,x,x,x,x,56.94861,15.79167
"Lenhovda, Kommunförrådet",Lenhovda,x,x,x,x,x,56.99028,15.29222
"Norrhult/Klavreström, ICA",Norrhult-Klavreström,x,x,x,x,x,57.12861,15.15306
"Åseda, fd Texaco p-plats (12:1)",Åseda,x,x,x,x,x,57.16778,15.34972
"Älghult, gamla sågverket",Älghult,x,x,x,x,x,57.00639,15.56417
Vid Din-X mack,Åseda,"",x,x, ,x,57.16583,15.34361
"Tippen, Linneberga (ÅVC)",Åseda,x,x,x,x,x,57.13250,15.30056
Bygdegården,Berg,x,x,x,x,x,57.08694,14.69861
Granvägen/Södertullsvägen,Braås,x,x,x,x,x,57.05833,15.05083
Parkgatan,Braås,x,x,x,x,x,57.06250,15.05389
Affären,Dädesjö,x,x,x,x,x,57.01000,15.10222
Kårevägen/Byvägen,Furuby,x,x,x,x,x,56.85444,15.03278
Stationsvägen,Gemla,x,x,x,x,x,56.86833,14.63694
Sjöbolsvägen,Ingelstad,x,x,"",x,x,56.73611,14.93194
Affären,Kalvsvik,x,x,x,x,x,56.73194,14.71167
Bäckgatan,Lammhult,x,x,x,x,x,57.16861,14.58361
Folkets Hus,Lammhult,x,x,x,x,x,57.17056,14.57611
Solvalla affären,Nöbbele,x,x,x,x,x,56.68528,15.03639
Fabriksvägen,Rottne,x,x,x,x,x,57.01889,14.89694
Falkvägen,Rottne,x,x,x,x,x,57.02778,14.89306
Jonsgårdsvägen/Löpanäsvägen,Rottne,x,x,x,x,x,57.02250,14.89194
Furumovägen,Sandsbro,x,x,x,x,x,56.91389,14.85639
Planetvägen,Tävelsås,x,x,x,x,x,56.76944,14.82472
Kyrkan,Uråsa,x,x,x,x,x,56.69639,14.91500
Infarten från Danningelanda,Vederslöv,x,x,x,x,x,56.78833,14.73306
Östra Växjö,Växjö,x,x,x,x,x,56.87222,14.83417
Östra Växjö,Växjö,x,x,x,x,x,56.87306,14.82639
Västra Växjö,Växjö,x,x,x,x,x,56.88389,14.79139
"Samarkand, västra Växjö",Växjö,x,x,x,x,x,56.88306,14.76333
Västra Växjö,Växjö,x,x,x,x,x,56.89028,14.79472
Teleborg Torparängen,Växjö,x,x,x,x,x,56.85417,14.80472
Teleborg,Växjö,x,x,x,x,x,56.83972,14.81194
Teleborg,Växjö,x,"",x,x,x,56.85056,14.82417
Teleborg,Växjö,x,x,x,x,x,56.84722,14.82306
Teleborg,Växjö,x,x,x,x,x,56.84278,14.79917
Statoil Teleborg,Växjö,x,x,x,x,x,56.85528,14.82111
Södra Växjö,Växjö,x,x,x,x,x,56.87250,14.79694
Norra Växjö,Växjö,x,x,x,x,x,56.88333,14.83000
"Teknikum, norra Växjö",Växjö,x,x,x,x,x,56.88278,14.81806
"Macken, norra Växjö",Växjö,x,x,x,x,x,56.89111,14.81639
"Lineborgsplan, norra Växjö",Växjö,x,x,x,x,x,56.88361,14.81167
Högstorp,Växjö,x,x,x,x,x,56.88278,14.85250
Rondellen Högstorp,Växjö,x,x,x,x,x,56.87944,14.83417
Hovshaga,Växjö,x,x,x,x,x,56.90222,14.79889
Hovshaga,Växjö,x,x,x,x,x,56.91444,14.79083
Hovshaga,Växjö,x,x,x,x,x,56.91361,14.78194
Hovshaga,Växjö,x,x,x,x,x,56.90389,14.78833
Växjö Centrum,Växjö,x,x,x,x,x,56.87667,14.79639
Växjö Centrum,Växjö,x,x,x,x,x,56.88444,14.79833
Växjö Centrum,Växjö,x,x,x,x,x,56.88611,14.80306
Araby,Araby,x,x,x,x,x,56.89917,14.79750
Gamla kvarnen,Åby,x,x,x,x,x,57.02778,14.77889
Billavägen/Växjövägen,Åryd,x,x,x,x,x,56.82694,14.97833
Badplatsen,Öjaby/Räppe,x,x,x,x,x,56.90056,14.73917
Runvägen,Öjaby/Räppe,x,x,x,x,x,56.89417,14.73833
Östra Räppevägen,Öjaby/Räppe,x,x,x,x,x,56.87806,14.74306
Lantcafét,Ör,x,x,x,x,x,56.99694,14.67111
Brandstationen,Ingelstad,x,x,x,x,x,56.74056,14.92194
Norremark (ÅVC),Växjö,x,x,x,x,x,56.89361,14.78139
Avfallsverket Häringetorp (ÅVC),Häringetorp,x,x,x,x,x,56.85611,14.69361
Braås Mästreda (ÅVC),Braås,x,x,x,x,x,57.05917,15.10556
Rottne (ÅVC),Rottne,x,x,x,x,x,57.04056,14.91972
Lammhult (ÅVC),Lammhult,x,x,x,x,x,57.17139,14.62833
Ingelstad (ÅVC),Ingelstad,x,x,x,x,x,56.73083,14.94583
Åby (ÅVC),Åby,x,x,x,x,x,57.02417,14.76250
Furuby (ÅVC),Furuby,x,x,x,x,x,56.85889,15.04167
Evedalsvägen (Östra Lugnets skola),Växjö,x,x,x,x,x,56.91417,14.81667
"Virestad, Horshultsvägen",Virestad,x,x,x,x,x,56.62611,14.34139
"Eneryda, Järnvägsövergång",Eneryda,x,x,x,x,x,56.70472,14.33611
"Delary, Bankvägen",Delary,x,x,x,x,x,56.54778,13.95500
Liatorp,Liatorp,x,x,x,x,x,56.66583,14.26500
"Pjätteryd, Brandstationen",Pjätteryd,x,x,x,x,x,56.64250,14.02694
"Hallaryd, Snickarevägen",Hallaryd,x,x,x,x,x,56.48556,13.89778
"Diö, Gamla kvarnen",Diö,x,x,x,x,x,56.63944,14.21972
"Häradsbäck, P-plats Knoxhultsvägen",Häradsbäck,x,x,x,x,x,56.52972,14.45111
"Göteryd, Bilverkstad",Göteryd,x,x,x,x,x,56.57194,13.87972
P-plats,Älmhult,x, , , , ,56.54194,14.14139
Munthe 9,Älmhult,x,"",x,x,x,56.55333,14.13500
Söder tennisbanan Möckeln,Älmhult,x,x,x,x,x,56.57500,14.15278
Söder om Gillet,Älmhult,x,x,x,x,x,56.55639,14.13944
Elmiers väg,Älmhult,x,x,x,"",x,56.54444,14.13833
Snapphanevägen/Göingeg,Älmhult,x,x,"",x,x,56.54556,14.12528
Svanabodavägen,Älmhult,x,x,x,x,x,56.55222,14.11917
"Värmeverket, mitt emot",Älmhult,x,x,x,x,x,56.55667,14.15278
Äskya tippen (ÅVC),Älmhult,x,x,x,x,x,56.56056,14.16222
"Arjeplog, Återvinningsgården (ÅVC)",Arjeplog,x,"","",x,x,66.04944,17.84056
"Jäckvik, Vattenverket",Jäckvik,x,x,x,x,"",66.38750,16.96083
"Laisvall, Br. Sundströms",Laisvall,x,x,x,x,x,66.13528,17.17222
"Slagnäs, Fotbollsplan",Slagnäs,x,x,x,x,x,65.58194,18.16472
"Arjeplog, Lugnetvägen",Arjeplog,x,x,x,x,x,66.04944,17.89306
"Arjeplog, Drottninggatan",Arjeplog,x,x,x,x,x,66.05306,17.90639
"Arjeplog, Medborgarhuset",Arjeplog,x,x,x,x,x,66.04389,17.87361
"Arjeplog, Skeppsviken",Arjeplog,x,x,x,x,x,66.05306,17.89028
"Abborrträsk, Folkets Hus",Abborrträsk,x,x,x,x,x,65.44750,19.38417
Glommersträsk Isladan,Glommersträsk,x,x,x,x,x,65.26028,19.63806
Lauker Handel,Arvidsjaur,x,x,x,x,x,65.65250,19.80417
Moskosel Brandstationen,Moskosel,x,x,x,x,x,65.87972,19.43972
Arvidsjaur Odlingsgatan,Arvidsjaur,x,x,x,x,x,65.59778,19.20250
Arvidsjaur Kommunhuset,Arvidsjaur,x,x,x,x,x,65.59444,19.17528
Auktsjaur Byastugan,Arvidsjaur,x,x,x,x,x,65.74583,19.39806
Arvidsjaurs ÅVC,Arvidsjaur,x,x,x,x,x,65.60222,19.14583
Hedgatan/Gamla Landsvägen,Arvidsjaur,x,x,x,x,x,65.58833,19.18944
Coop Forum,Boden,x,x,x,x,x,65.82611,21.68528
"Prästholmen, Prästholmsskolan",Boden,x,x,x,x,x,65.83056,21.69861
"Sanden, Sturegatan/Kyrkgatan",Boden,x,x,x,x,x,65.81917,21.69333
"Bosvedjan, Slipvägen",Boden,x,x,x,x,x,65.80056,21.68444
"Brännberg, Sågen/Brännbergträ",Boden,x,x,x,x,x,65.78472,21.22639
"Buddbyn, Buddbygården/Byalokalen",Boden,x,x,x,x,x,65.87944,21.68806
"Boden, Manhemsgatan/Moråsleden",Boden,x,x,x,x,x,65.82472,21.71167
"Gunnarsbyn, Träskvägen",Gunnarsbyn,x,x,x,x,x,66.08694,21.80000
"Heden, ICA Heden",Boden,x,x,x,x,x,65.81583,21.58333
"N. Bredåker, Avloppsreningsverket",Boden,x,x,"",x,x,65.90083,21.35222
"N. Svartbyn, Svartbyleden/Fårhagsvägen",Boden,x,x,x,x,x,65.80778,21.76333
"Svartbjörsbyn, Krusvägen",Boden,x,x,x,x,x,65.85222,21.70083
"Sävast, OK-Q8",Boden,x,x,x,x,x,65.75472,21.76083
"Torpgärdan, G:a Lulevägen/Industrivägen",Boden,x,x,x,x,x,65.81028,21.72611
"Unbyn, Avloppsreningsverket",Boden,x,x,x,x,x,65.71333,21.76306
"Vittjärv, Skjutbanevägen",Boden,x,x,x,x,x,65.84889,21.59861
"Sävast, Melonvägen",Boden,x,x,x,x,x,65.77194,21.74500
"Boden, ICA Kvantum",Boden,x,x,x,x,x,65.81611,21.71000
"Boden, OK-Q8",Boden,x,x,x,x,x,65.82389,21.66778
"Sveafältet, Konsum",Boden,x,x,x,x,x,65.81917,21.67306
"Fagernäs, Svartbyvägen",Boden,x,x,x,x,x,65.82056,21.72639
"Prästholmen, Fakta fd",Boden,x,x,x,x,x,65.83472,21.70194
"S. Svartbyn, G:a Lulevägen/Gideonsvägen",Södra Svartbyn,x,x,x,x,x,65.79444,21.74139
"Harads, Edeborgsvägen",Harads,x,x,x,x,x,66.08250,20.95889
"Skogså, Affären fd",Boden,x,x,x,x,x,65.87306,21.87833
"Ö. Svartlå, Macken på backen",Boden,x,x,x,x,x,66.01556,21.15583
Avfallsupplaget Brändkläppen (ÅVC),Boden,x,"","","",x,65.84833,21.73917
Harads ÅVC,Boden,x,"","","",x,66.09778,20.94417
"Dokkas, Hemsjöns Livs",Dokkas,x,x,x,x,x,67.06556,21.29028
"Gällivare, Bagarvägen",Gällivare,x,x,x,x,x,67.15139,20.63333
"Gällivare, Blockvägen",Gällivare,x,x,x,x,x,67.15444,20.61333
"Gällivare, Dollar Store",Gällivare,x,x,x,x,x,67.14861,20.65639
"Gällivare, Estradvägen",Gällivare,x,x,x,x,x,67.14556,20.67361
"Gällivare, Nomadskolevägen",Gällivare,x,x,x,x,x,67.14000,20.69472
"Gällivare, OK-Q8",Gällivare,x,x,x,x,x,67.13583,20.67917
"Gällivare, OK-Q8",Gällivare,x,x,x,x,x,67.12972,20.66833
"Gällivare, Hjortronet",Gällivare,x,x,x,x,x,67.14306,20.63889
"Hakkas, Klubblokalen",Hakkas,x,x,x,x,x,66.91500,21.56167
"Koskuskulle, Dennewitsvägen",Koskullskulle,x,x,x,x,x,67.18306,20.73056
"Koskuskulle, Konsum,alt.Bangatan",Koskullskulle,x,x,x,x,x,67.18611,20.73722
"Malmberget, Norra Kungsallén",Malmberget,x,x,x,x,x,67.16833,20.68444
"Malmberget, Rödingvägen",Malmberget,x,x,x,x,x,67.16417,20.64167
"Malmberget, Stallvägen",Malmberget,x,x,x,x,x,67.17806,20.65278
"Malmberget, Statoil",Malmberget,x,x,x,x,x,67.17139,20.64583
"Malmberget, Stubbvägen",Malmberget,x,x,x,x,x,67.16056,20.62056
"Malmberget, Södra Bussgatan",Malmberget,x,x,x,x,x,67.15778,20.63694
"Handlarn, Nattavaara",Nattavaara,x,x,x,x,x,66.76194,21.02667
"Skaulo, Träffpunkten",Skaulo,x,x,x,x,x,67.41417,21.11806
"Ullatti, OK-Q8",Ullatti,x,x,x,x,x,67.01556,21.81444
"Gällivare, Hellebergsvägen",Gällivare,x,x,x,x,x,67.13722,20.66750
"Gällivare, Kopparvägen (Forsvallen)",Gällivare,x,x,x,x,x,67.12500,20.68389
Gällivare ÅVC,Gällivare,x,x,x,x,x,67.15389,20.73722
Stora Sjöfallets Fjällanläggning,Stora Sjöfallet,x,x,x,x,x,67.48278,18.35333
"Haparanda, Tullgatan",Haparanda,x,x,x,x,x,65.83694,24.13694
Haparanda V Esplanden 34,Haparanda,x,x,x,x,x,65.83444,24.13056
"Haparanda, Ripvägen",Haparanda,x,x,x,x,x,65.83556,24.10611
"Haparanda, Sågareg/Grankullev.",Haparanda,x,x,x,x,x,65.82722,24.13250
"Karungi, Industrihuset",Karungi,x,x,x,x,x,66.04306,23.95194
"Nikkala, Hamnv/Öhmansv",Nikkala,x,x,x,x,x,65.80361,23.91778
"Seskarö, Sotarvägen",Seskarö,x,x,x,x,x,65.73722,23.73972
"Haparanda, ICA Jouren",Haparanda,x,x,x,x,x,65.84889,24.11444
Nya ICA MAXI Stormarknad,Haparanda,x,x,x,x,x,65.84222,24.12028
"Jokkmokk,Polgatan",Jokkmokk,x,x,x,x,x,66.60778,19.80556
"Porjus,Skolan",Porjus,x,x,x,x,x,66.95889,19.82056
"Jokkmokk,Statoil",Jokkmokk,x,x,x,x,x,66.60944,19.82861
"Vuollerim,Industrivägen  ",Vuollerim,x,x,x,x,x,66.42778,20.59833
"Kåbdalis, Perssons div. handel",Kåbdalis,x,x,x,x,x,66.14806,19.98694
Jokkmokk ÅVC,Jokkmokk,x,"","",x,x,66.61056,19.85111
Porjus ÅVC ,Lillselet,"","","",x,"",66.95361,19.79889
Vuollerim ÅVC ,Vuollerim,"",x,"",x,x,66.43139,20.63806
"Bredviken, Bredviksvägen",Kalix,x,x,x,x,x,65.83083,23.20667
"Båtskärsnäs, Norrkust Marina",Båtskärsnäs,x,x,x,x,x,65.78444,23.42472
"Grytnäs, Shell",Kalix,x,x,x,x,x,65.84861,23.12333
"Kalix, Djuptjärn",Kalix,x,x,x,x,x,65.87056,23.13639
"Kalix, Vattenvägen",Kalix,x,x,x,x,x,65.86083,23.13556
"Kalix, Stenbäcksvägen",Kalix,x,x,x,x,x,65.86806,23.12833
"Kalix, Åkervägen",Kalix,x,x,x,x,x,65.84361,23.18472
"Karlsborg, Bruksgatan",Karlsborg,x,x,x,x,x,65.80000,23.29222
Morjärv,Morjärv,x,x,x,x,x,66.06944,22.70222
"Nyborg, Idrottsplatsen",Kalix-Nyborg,x,x,x,x,x,65.79444,23.17139
"Påläng, Engbergs Åkeri",Påläng,x,x,x,x,x,65.81944,22.88639
"Risögränd, Stora vägen",Risögrund,x,x,x,x,x,65.81556,23.24333
"Sangis, Konsum",Sangis,x,x,"",x,x,65.85750,23.49306
"Siknäs, Miljöstation",Töre,x,x,x,x,x,65.84361,22.67972
"Töre, ICA Nyckeln",Töre,x,x,x,x,x,65.91194,22.64667
"Kalix, Lägergatan",Kalix,x,x,x,x,x,65.85000,23.17806
"Kalix, Kalix Avfallsdeponi",Kalix,x,x,x,x,x,65.87167,23.16361
"Kalix, Kalix Sjukhus, PC",Kalix,x,x,x,x,x,65.85694,23.15694
Bondersbyn,Kalix,x,x,x,x,x,65.92722,22.89806
Nyborg,Kalix Nyborg,x,x,x,x,x,65.80083,23.16139
"Karesuando, Reningsverket",Karesuando,x,x,x,x,x,68.43972,22.46694
"Kiruna, Folkets hus",Kiruna,x,x,x,x,x,67.85556,20.22472
"Kiruna, Lomboloskolan",Kiruna,x,x,x,x,x,67.83833,20.25972
"Kiruna, Centralskolan",Kiruna,x,x,x,x,x,67.85472,20.23028
"Kiruna, Konsum",Kiruna,x,x,x,x,x,67.85583,20.24389
"Kiruna, Konsum",Kiruna,x,x,x,x,x,67.86528,20.22556
"Kiruna, Ullspiran",Kiruna,x,x,x,x,x,67.84500,20.22889
COOP FORUM,Kiruna,x,x,x,x,x,67.84472,20.25639
"Svappavara, Konsum",Svappavaara,x,x,x,x,x,67.64806,21.04556
"Tuolluvaara, Borgen",Tuolluvaara,x,x,x,x,x,67.84944,20.32944
"Övre Soppero, Päiviös Styckeri",Övre Soppero,x,x,x,x,x,68.08583,21.70694
"Kiruna, Ahos Park",Kiruna,x,x,x,x,x,67.85333,20.25000
